倩女幽魂手游科举答题器 科举答案大全_蚕豆网新闻
科举答案大全

2500、在明朝科举制度中，一甲进士称：|赐进士及第
2575、真金不怕火炼这句广为流传的俗语，能充分体现金具有的性质是?|化学性质稳定

2576、真武大帝又称玄天上帝请问他是下列那座山信封的主神?|"武当山"

2577、镇江蟹黄汤包名扬海内外，是有名的小吃名馔。蟹黄汤包是为了悼念谁而闻名天下?|孙尚香

2578、整个古代棋类中，可以说是棋之鼻祖的是：|围棋

2579、正始十年，司马懿趁以下哪位曹魏宗室陪同皇帝至高平陵扫坟时，发动政变控制京都，夺取了曹魏的军政大权?|曹爽

2580、正式把二十四节气订于历法，明确二十四节气的天文位置的是?|太初历

2581、正是江南好风景，落花时节又_君：|逢

2582、郑和下了几次西洋?|七次

2583、郑和下西洋发生在下列哪一位皇帝统治时期?|明成祖

2584、卷轴任务猛志常在讲述了刑天的故事，以下关于刑天说法正确的是：|刑天故事出自山海经•海外西经

2585、知音少，弦断有谁听是哪位古人发出的感叹?|岳飞

2586、志怪小说《东方朔》的作者是：|郭宪

2587、志怪小说《幽明录》创作于：|"南朝"

2588、志怪小说《左慈》的作者是：|干宝

2589、志怪小说捉鬼的作者是：|刘义庆

2590、制定太初历的是：|邓平

2591、制图六体是谁提出的关于绘制地图的原理?|裴秀

2592、制作菜肴时，口味过酸，适当加些糖可使酸味有所减轻。这是味的什么现象?|"消杀"

2593、治大国如烹小鲜，这句名言流传千年，它说的是虽然饮食只是小道，一旦达到极至，也包含天下的至理，请问这句名言是谁说的?|老子

2594、中国“两弹元勋”是谁?|"邓稼先"

2595、中国奥委会从哪一年开始，举行纪念奥林匹克日长跑活动?|" 1987年"

2596、中国北京故宫的另一个名称是什么?|"紫禁城"

2597、中国禅宗以下列哪一位为中国始祖：|菩提达摩

2598、中国传统节日七夕是从下列哪一个故事而来：|牛郎织女

2599、中国的第三大岛是?|"崇明岛"

2600、中国的科学著作《梦溪笔谈是_体裁的著作：|笔记体

2601、中国的习俗中端午要喝雄黄酒来辟邪。雄黄可克制蛇，蝎等百虫。请问雄黄是属于一种?|矿物

2602、中国的中医药学源远流长，其中四气五味这一概念是中药药性理论的基本内容之一。请问四气，又称四性，指的是：|寒热温凉

2603、中国第二大岛是：|海南岛

2604、中国第一部动画片是哪一部?|《大闹画室》

2605、中国第一大河|长江

2606、中国第一大河长江的源头在：|唐古拉山脉

2607、中国第一座佛教寺院建于：|洛阳

2608、中国第一座佛教寺院始建于：|东汉时期

2609、中国第一座佛教寺院是：|白马寺

2610、中国端阳节有用雄黄酒灭五毒的习惯，那么雄黄酒可以饮用吗?|"不可以"

2611、中国风俗中的爱情与婚姻之神是谁呢?|"月下老人"

2612、中国古代《茶经》著于?答：|唐代

2613、中国古代并没有考古学之说，以下哪门是被人认为是中国考古学前身的，以前朝铜器和碑石为研究对象的学问?|金石学

2614、中国古代的大型农书农政全书的作者是：|徐光启

2615、中国古代的辉煌巨著《梦溪笔谈的作者是：|沈括

2616、中国古代地名中的阴和阳往往体现了该地与相邻山，水的关系。以下都表示阴的方位是：|山之北，水之南

2617、中国古代东渡过日本的使者是?答：|徐福

2618、中国古代很多成语都与著名人物相关，请问下列成语出处和人物对应不正确的是?|一字千金-左思

2619、中国古代将每年日影最短定为：|日短至

2620、中国古代将全国划分为九个区域，即所谓的“九州”，以下不属于九州的是?|凉州

2621、中国古代名曲中的《高山流水》讲述了下列哪两位的故事：|伯牙与子期

2622、中国古代名曲中的《胡笳十八拍》表达的是：|悲怨之情、浩然之怨

2623、中国古代名曲中的《龙朔操》取材自下列哪个故事：|昭君出塞

2624、中国古代名曲中的《梅花三弄》咏叹了：|梅花的高洁

2625、中国古代名曲中的《十面埋伏》讲述的英雄是：|项羽

2626、中国古代名曲中的《夕阳箫鼓》的曲情基本来自下列哪一首诗：|《春江花月夜》

2627、中国古代名曲中的《夕阳箫鼓是一首：|琵琶名曲

2628、中国古代名曲中的《渔樵问答是一首：|古琴曲

2629、中国古代名曲中的胡笳十八拍的作者是：|蔡琰

2630、中国古代名曲中的十面埋伏是一首：|琵琶名曲

2631、中国古代深具影响力的文学理论著作，被誉为“体大思精、深得文理”的文章写作理论巨著是下列哪部：|文心雕龙

2632、中国古代神话中，下面关于神仙掌管自然现象对应正确的是：|望舒是为月亮驾车的女神 青女是雷部推车之女 屏是掌管下雪的神仙

2633、中国古代十大酒局中，醉打金枝中的金枝指的是：|升平公主

2634、中国古代书法中有种“擘窠书”，它指的是：|大字，常常书写在匾额，宫殿门顶上

2635、中国古代医学甚为发达，对于食物养身，食疗治病等探索与发展，请问下列选项中，哪一本不是我国古代有关疗效食品的专著?|食疗本草

2636、中国古代著名的工艺百科全书《天工开物的作者是：|宋应星

2637、中国古代著名的药学著作《本草纲目的作者是：|李时珍

2638、中国古代著名科学家祖冲之是下列哪一时代的人：|南北朝

2639、中国古典乐器二胡的弦通常有：|两根

2640、中国古典乐器琵琶的弦通常有：|四根

2641、中国古曲中，三弄是指：|同一段曲调反复演奏三次

2642、中国国画的历史源远流长，各国画流派所擅不同，黄派的创立人是五代时的黄筌，请问下列哪一作品不是他的：|千里江山图

2643、中国国画历史上，吴门画派的领袖是：|沈周

2644、中国国家足球队邀请的第一位外籍教练是?|"施拉普纳"

2645、中国绘画史上，与顾恺之，陆探微以及吴道子并称为画家四祖的南朝著名画家是：|张僧繇

2646、中国篮球女将郑海霞参加过多几届奥运会?|" 4届"

2647、中国历史上，大辽灭亡后，辽代贵族耶律大石控制了蒙古高原和新疆东部一带，史称：|西辽

2648、中国历史上，第一次外戚与宦官相争发生在：|东汉

2649、中国历史上，仅存十四年的新朝的建立者是：|王莽

2650、中国历史上，炼丹风气大盛始于哪一位皇帝：|汉武帝

2651、中国历史上，西夏国的创始人是?|李元昊

2652、中国历史上，象棋在下列哪一时代产生?|周

2653、中国历史上，修建长城的修筑工程规模最大的是：|明代

2654、中国历史上，以下哪个不是用于指皇后的称谓?|哀家

2655、中国历史上，政治中心在云南少数民族地区的小国大理，最终是被元朝忽必烈率兵剿灭。请问大理的最后一个皇帝是?|段兴智

2656、中国历史上，著名的僧侣起义大乘起义发生在下列哪一时期?|北魏

2657、中国历史上存在时间最短的封建统一朝代是：|秦朝

2658、中国历史上的名篇《桃花源记》的作者是：|"陶潜"

2659、中国历史上第一部比较系统完备的法案法经的作者是：|李悝

2660、中国历史上第一个统一的中央集权的封建国家是：|秦朝

2661、中国历史上开辟中国和欧洲交通的使臣是：|甘英

2662、中国历史上外戚是指|皇帝的妻族和母族

2663、中国历史上著名的“靖康之变”事件，发生在宋朝下列哪位皇帝的统治时期：|宋钦宗

2664、中国历史上最大的百科全书《永乐大典》编著于下列哪个皇帝统治时期：|"朱棣"

2665、中国历史上最大的百科全书是：|永乐大典

2666、中国茅台酒始创于? |"1704年"

2667、中国名茶之冠是：|西湖龙井

2668、中国农业有着悠久的历史，下面成语跟农业相关的是?|刀耕火耨

2669、中国女篮在奥运会上的最好成绩是第几名?|"第二名"

2670、中国女排的五连冠中第五个冠军是在那一年获得的? |"1986"

2671、中国神话中，少昊是炎帝的_|儿子

2672、中国神话中，颛顼是黄帝的_：|孙子

2673、中国诗歌史上最古老的弃妇诗是?|氓

2674、中国史书上曾记载过几个一妻多夫制的国家，其中最著名的是东女国，请问东女国在今时的哪个地区?|西藏

2675、中国是着名的什么王国，60年代中国着名选手庄则栋连续三次夺取了男子单打世界冠军?|"乒乓球"

2676、中国四大名锦之首为：|云锦

2677、中国围棋通用的棋盘大小是：|19*19

2678、中国围棋中，白子共有_枚：|180

2679、中国围棋中，黑子共有_枚|181

2680、中国围棋中，棋盘上共有几个交叉点?|361

2681、中国围棋中，一副棋子总数为几枚?|361

2682、中国围棋中，职业围棋的最高段位是：|九段

2683、中国五大名面口感不同，各有风味，请问以下不属于五大名面的是?|牛肉面

2684、中国五子棋中，五子棋的最高段位是：|九段

2685、中国五子棋中，一共可分为_段_级：|九，十

2686、中国戏曲之母，属南戏派，请问这一剧种是：|昆曲

2687、中国象棋的双方各有几种棋子?|"7"

2688、中国象棋历史上，《象戏经赋》的作者是?|庚信

2689、中国象棋历史中，著作《事林广记》的作者是：|洪迈 陈元靓 叶茂卿

2690、中国象棋历史中，著作棋经论的作者是：|洪迈

2691、中国象棋盘上的“楚河汉界”所指的地方位于哪个省份?|"河南"

2692、中国象棋中，车的走法是：|车每一步不限步数

2693、中国象棋中，对局开始前黑棋子的将左右摆放的是：|士

2694、中国象棋中，对局时由执__棋的一方先走：|红

2695、中国象棋中，黑棋子的统领是：|将

2696、中国象棋中，马的走法是：|走日字

2697、中国象棋中，棋盘中间没有划通直线的地方叫做：|河界

2698、中国象棋中，士的走法是：|可沿九宫斜线走

2699、中国象棋中，拥有兵这个棋的是：|红方

2700、中国象棋中，拥有卒这个棋的是：|黑方

2701、中国象棋中一共有几个子?|全盘32子 每方16子

2702、中国一共有几个节气?|24

2703、中国有句俗语叫“瑞雪兆丰年”，这其中蕴含着什么道理?|雪可以防止热传导和空气对流，起到保温作用

2704、中国有着非常丰富的舞蹈遗产，其中著名的古代六舞又称六乐，被后世尊称为先王之舞，其中的大武是歌颂_的作品。|武王伐纣

2705、中国运动员在第几届奥运会上实现金牌零的突破?|"第23届奥运会"

2706、中国著名的长江三峡指的是哪三峡?|瞿塘峡，巫峡，西陵峡

2707、中国著名的司母戊鼎制造于：|商朝

2708、中国最大的渔场是：|舟山渔场

2709、中国最富盛名的楷书四大家“颜柳赵欧”指的是：|颜真卿 柳公权 赵孟頫 欧阳询

2710、中国最早、最完整的一部农书是：|《齐民要术》

2711、中国最早的一套历史地图是：|《禹贡地域图》

2712、中国最早的医书是哪一本?|"黄帝内经"

2713、中国最早推算出圆周率精密数值的是：|祖冲之

2714、中华武术博大精深，是谁具有武术家身份而投身于电影拍射，被世界所公认为一代宗师，创立了截拳道?|"李小龙"

2715、中间小谢又清发的上半句是：|蓬莱文章建安骨

2716、中军八面将军重，河外尖斜步卒轻咏的是：|象棋

2717、中秋月饼相传是为了祭祀月神嫦娥，又名常羲，有常羲生十二月的说法，有关常羲说法错误的是：|常羲生下十二个月亮

2718、中药不宜与什么茶同服?|"绿茶"

2719、中医把人体内的重要器官分为脏和腑两类，五脏六腑中五脏指的是：|心 肝 脾 肺 肾

2720、中医所说的伤寒指什么?|外感病的总称

2721、仲长统乐志论：消摇一世之上，睥睨天地之间，不受当时之责，永保性命之期。这几句话表现的是：|道家思想

2722、众人遇我，我故众人报之。国士遇我，我故国士报之反映了士对知己者的回报，以下出自同一典故的名言是?|女为悦者容

2723、重耳在外流亡，疲惫饥饿，向田间老农乞要食物，老农捧起一把泥土给他。重耳勃然大怒，随从狐偃如何劝说他?|这是上天赐予土地

2724、重阳节又称“老人节”，人们在这一天有插茱萸，饮什么酒?|"菊花酒"

2725、周髀算经中，若求邪至日者，以日下为旬，日高为股，旬股各自乘，并而开方除之，得邪至日，讲的是什么定理?|勾股定理

2726、周代就有会计一词，会和计都是计算的意思，请问这两字分别指的是哪种计算?|总结计算-零星计算

2727、周颠仙传作者是谁?|朱元璋

2728、周易是我国古代著名的文化典籍，传闻其经历了三位圣人的完善，请问下列哪个人物与易更三圣这个典故无关?|大禹

2729、朱鹮是稀世珍禽，历史上曾广泛分布于东亚地区。下列对其生活习性的描述。不正确的一项是?|喜欢在河滩或溪流的岸边过夜

2730、朱砂可治疗|惊痫

2731、朱元璋当上皇帝以后曾经怀念过没当皇帝之前的几种食物，请问哪一种是朱元璋没有怀念过的?|八宝饭

2732、朱元璋推翻元朝，建立明朝后，下令禁止的不包括以下哪一项?|胡人

2733、珠江的入海口共有：|八个

2734、珠江旧称：|粤江

2735、诸葛亮，身为丞相，贵为武候，却娶了个丑媳妇，诸葛亮的妻子名叫：|黄硕

2736、西游记中经常提到木母，土母，金公，心猿，意马等称呼，心猿意马分别指悟空和白龙马。木母-土母-金公指:|猪八戒，沙僧，孙悟空

2737、竹子是树还是草?|"草"

2738、烛影斧声一词来源于史上什么事件?|宋太祖赵匡胤暴死之谜

2739、属于儒家思想的是?|"仁者爱人"

2740、属于石头兵器的是|霹雳车

2741、属于中国蔬菜|白菜

2742、煮龙虾前，用竹签插入身体的尾部，为了?|"放尿"

2743、著名的茶类著作《茶经》的作者是：|陆羽

2744、著名的茶类著作<茶经>写成于：|唐代

2745、著名的城市大理市由下列哪个少数民族自治的地区?|白族

2746、著名的大雁塔的建造年代是处于：|唐朝

2747、著名的地动仪上共刻有几个方位的龙?|八个

2748、著名的风景名胜城市桂林位于：|漓江的西岸

2749、著名的古筝曲《渔舟唱晚》的标题取自名篇：|滕王阁序

2750、著名的龙门石窟始凿于：|北魏

2751、著名的龙门石窟位于下列哪一座城市：|洛阳

2752、著名的三峡不包括：|虎跳峡

2753、著名的诗《琵琶歌》的作者是：|元稹

2754、著名的四门塔位于：|山东省

2755、著名的天文仪器简仪发明于：|郭守敬

2756、著名的天文仪器简仪发明于下列哪一朝代：|元代

2757、著名的医书《本草经集注》的作者是：|陶弘景

2758、著名的岳麓书院位于哪一省份：|湖南省

2759、我国摩崖石刻艺术史上最伟大的作品，著名的云冈石窟位于何地：|山西省-大同

2760、著名的中国古代十大名曲之一的汉宫秋月，曲调抒情委婉，细腻深远，悲凉凄清。请问该曲是要表达的是：|深宫中宫女幽怨无奈，寂寥清冷

2761、著名的中国古乐器编钟属于：|打击乐器

2762、著名的中国古乐器笛子属于：|吹奏乐器

2763、著名的中国古乐器二胡属于：|拉弦乐器

2764、著名的中国古乐器古琴属于：|弹拨乐器

2765、著名的中国古乐器古筝属于：|弹拨乐器

2766、著名的中国古乐器箜篌属于：|弹拨乐器

2767、著名的中国古乐器琵琶属于：|弹拨乐器

2768、著名的中国古乐器磬属于：|打击乐器

2769、著名的中国古乐器箫属于：|吹奏乐器

2770、著名的烛之武退秦师故事发生在春秋时期的哪个国家?|郑国

2771、著名花鸟画《半鹅图》的画家是：|陆探微

2772、著名花鸟画《半牛图》的画家是：|戴嵩

2773、著名花鸟画《孔雀竹石图》的画家是：|八大山人

2774、著名花鸟画《鹿图》的画家是：|萧绎

2775、著名花鸟画照夜白的画家是：|韩干

2776、著名画家唐寅又号：|六如居士

2777、著名画家吴道玄，一生主要从事__的创作：|宗教壁画

2778、著名农民起义中，提出均田免赋口号的领袖是：|李自成

2779、著名人物画《采薇图》的画家是?|李唐

2780、著名天文著作《天文的作者是：|石申

2781、著名天文著作《天文星占》的作者是：|甘德

2782、著名武侠大师金庸的作品天龙八部，书中描写了许多匪夷所思，神妙万方的武功。请问下列哪一种武功在小说中未被提及：|紫霞功

2783、著名萧曲《平湖秋月》描绘的是那个地方的景色：|杭州西湖

2784、著名箫曲《妆台秋思》取材自下列哪个故事?|昭君出塞

2785、著名箫曲欸乃题目取自于下列哪首诗：|柳宗元-渔翁

2786、著名寓言《临江之糜》的作者是：|柳宗元

2787、著名寓言《黔之驴》的作者是：|柳宗元

2788、著名寓言永某氏之鼠的作者是：|柳宗元

2789、著名著作《佛国记》的作者是：|法显

2790、著名著作《齐民要术》的作者贾思勰是下列哪一时代的：|南北朝

2791、著名著作《齐民要术》的作者是：|贾思勰

2792、著名足球运动员巴乔是哪个国家的?"|"意大利"

2793、转运汉遇巧洞庭红写的是：|商人泛海经商

2794、转运汉遇巧洞庭红作者的倾向是：|赞赏敢于冒险求财富

2795、庄子•徐无鬼记载，鼓宫则宫鸣，鼓角则角应，音律同矣。这是声音的什么现象?|共振

2796、庄子善用寓言来说明道理，以下故事不出自庄子的是?|爱屋及乌

2797、庄子休盆鼓成大道》中庄子的性格特征是：|"无聊、猥琐"

2798、庄子一书的作者庄周，他是下列哪个学派的代表人物：|道家

2799、紫毫笔是什么动物毛制?|"兔毛"

2800、自然力“三浴”锻炼，下列哪个不是三浴?|"雨浴"

2801、自由女神像是哪个国家送给美国的礼物?|"法国"

2802、自由体操比赛中，男、女运动员比赛规定时间长短是一样吗?|"不一样"

2803、自由泳比赛中一般采用什么姿势?|"爬泳"

2804、总角之交”是指?|"少年之交"

2805、粽子不仅有形状之分，也有大小之分，请问下列哪个省的粽子个头最大?|广东

2806、足球比排球重量轻吗?|"不是"

2807、足球比赛场地的角旗高度为多少米? |"1.50米"

2808、足球比赛实行金球制以后，第一支在国际大赛中被打进金球的球队是?|"捷克"

2809、足球比赛中“帽子戏法”是什么意思?|"踢进3个球"

2810、足球场地中心的中圈半径是多少米? |"9.15米"

2811、最初被称为坎侯或空侯的中国古乐器是：|箜篌

2812、我国最大的外流盆地是：|四川盆地

2813、最经济的获得维生素D的方法是什么?|"晒太阳"

2814、最原始的哺乳动物-鸭嘴兽是?|"卵生的"

2815、最早传入我国的宗教是：|佛教

2816、最早到古印度取经的高僧是：|法显

2817、最早的奥运会项目是什么?|"短跑"

2818、最早的血压计用于测量谁的血压?|"马"

2819、最早实行私人办学，使跟多的人受教育的教育家是?| 孔子

2820、醉不成欢惨将别，别时茫茫江浸_：|月

2821、醉酒后吃什么食物最解酒?|"蜂蜜"

2822、醉卧沙场君莫笑，古来征战几人回出自：|凉州词

2823、作品阿房宫赋的作者是：|杜牧

2824、临洞庭湖赠张丞相一诗为孟浩然佳作，诗人继承了自诗经以来传统的比兴手法，托物言志，自然和谐。中有坐观垂钓者，徒有羡鱼情两句，用的典故出|淮南子

2825、坐看红树不知远的下半句是：|行尽青溪不见人

2826、大年夜你吃饺子了吗?吃饺子是华夏民族过年期间的一项重要习俗，饺子起源于东汉，请问其最初是用于以下哪个方面?|医疗

2827、十世镜第二世中的男女主人公分别叫什么?|采苹-董桂

2828、以下哪个技能并非要求施放时必须选中1个目标，但其附近目标也可能受到伤害的?|星流电驰

2829、钓鱼岛从何时开始就明确为我国的领土?|明朝

2830、灿灿火光相连，岁岁除夕团聚。这个春节字谜的谜底是?|出

2831、迎春花市是广州的传统年俗，以下花果名与寓意对应不正确的一项是?|金琥-招财进宝

2832、几千年前，舜即天子位，以下春节的叫法和时代对应不一致的是?|两汉-上日

2833、立春对于中国人来说是非常重要的节气，请问立春的习俗是吃什么传统食物?|春饼

2834、春节有许多有趣的别称，请问以下哪一个不是春节的别称?|岁除

2835、春联是过年时家家户户门上都要贴，请问上联是一弹流水一弹月，下联最合适的是?|半入江风半入云

2836、在太古时期，有一种凶猛的怪兽，散居在深山密林中，人们管它们叫年兽。请问以下习俗中和年兽无关的是?|贴门神

2837、传说宝莲灯中，沉香的母亲三圣母是主管五岳之中哪座山的女神?|华山

2838、过小年、拜灶神，灶神是神话传说中司饮食之神，以下哪个不是对其的称呼?|福德正神

2839、下列不属于春节期间庆祝活动的是?|敬奉碾子

2840、爆竹声中一岁除，春风送暖入屠苏，千户万户瞳瞳日，__。王安石-元日。请问最后一句是?|总把新桃换旧符

2841、请问除夕一词最早出现于下列哪本著作?|风土记

2842、请问最早的压岁钱叫什么?|厌胜钱

2843、下列关于春节的诗句哪一项是明朝诗人所作?|东风吹暖娄江树

2844、除了汉族，许多少数民族也有过年传统，以下哪个民族在过年期间有祭火习俗?|蒙古族

2845、压岁钱这一年俗最早出现于汉代，请问它最初的功用是什么?|驱邪饰品

2846、度梵语是波罗蜜多，字义是到彼岸。六度就是六个到彼岸的方法。以下哪个不是六度之一?|般若

2847、有些技能使用后可以吸收伤害，下列技能中属于该类技能的是：|伤神续命

2848、诗长干行的作者是：|李白

2849、我国的陕西省简称：|陕

2850、有多种改变玩家位置的技能，下列技能中属于改变双方位置的移位技能的是：|移形换影

2851、诗赠卫八处士的作者是：|杜甫

2852、我国四大发明之一印刷术的发明者是：|毕升

2853、比较特别的技能，攻击时忽视对方一定比例的防御，下列技能中属于这类技能的是：|势如破竹

2854、下列哪一位不属于三国中蜀国的五虎将：|董卓

2855、在我国，许多动物或虚构动物的名字是公母共称的，比如鸳鸯，鸳为公，鸯为母，以下哪个名字并非此种构词结构?|睚眦

2856、出人头地现指高人一等，超出一般人，这个成语最初是用于一位考官形容一位考生，请问他是?|苏轼

2857、下列僧侣中，曾举行过大型僧侣起义的是：|法庆

2858、水至清则无鱼，人至察则无徒是下列哪位作家的名句：|班固

2859、谥号是古代对君主等有地位的人一生概括的评价，有美谥，平谥，恶谥的分别，以下属于平谥的是：|哀

2860、下列不属于五声音阶的是：|语

2861、笛子横吹_膜孔，箫竖吹且_膜孔|有-没有

2862、画史上被称为大米-小米的两位画家之间的关系是：|父子

2863、三国演义一书中，明显的表现出作者怎样的倾向?|拥刘反曹

2864、明永乐年间，郑和第一次下西洋是从哪里出发的?|江苏刘家港

2865、古龙笔下十大恶人中易容之术精妙，可谓毫无破绽，请问这位恶人是?|屠娇娇

2866、诗句春风吹又生的上半句是：|野火烧不尽

2867、斩木为兵-揭竿为旗形容的是哪一场起义?|陈胜吴广起义

